title,description,category,difficulty,estimated_duration,xp_reward
Hacer 30 minutos de ejercicio,Cualquier actividad física que te haga sudar,Salud,normal,30,50
Leer 20 páginas de un libro,Continúa con tu lectura actual o empieza uno nuevo,Aprendizaje,easy,45,30
Meditar 10 minutos,Practica mindfulness o meditación guiada,Bienestar,easy,10,30
Beber 8 vasos de agua,Mantente hidratado durante el día,Salud,easy,0,30
Escribir en un diario,Reflexiona sobre tu jornada y sentimientos,Bienestar,normal,15,50
Planear el día,Define las tareas y objetivos principales,Organización,normal,20,50
Preparar una comida saludable,Cocina algo nutritivo y equilibrado,Salud,normal,60,50
"Caminar 10,000 pasos",Realiza caminatas a lo largo del día,Salud,hard,90,100
Aprender una nueva habilidad,Dedica tiempo a un curso o tutorial,Aprendizaje,normal,60,50
Limpiar el escritorio,Ordena tu espacio de trabajo,Organización,easy,15,30
Hacer estiramientos por 15 minutos,Ejercicios básicos de flexibilidad,Salud,easy,15,30
Dormir 8 horas,Asegura un descanso nocturno adecuado,Bienestar,normal,480,50
Escuchar un podcast educativo,Elige un tema que amplíe tu conocimiento,Aprendizaje,easy,30,30
Revisar metas semanales,Evalúa tu progreso y ajusta objetivos,Productividad,normal,20,50
Organizar archivos en la computadora,Clasifica y respalda documentos importantes,Productividad,easy,30,30
Practicar un hobby creativo,"Pinta, escribe o toca un instrumento",Creatividad,normal,45,50
Llamar a un amigo o familiar,Fortalece tus relaciones personales,Social,easy,10,30
Tomar un descanso de pantalla de 30 minutos,Aléjate de dispositivos electrónicos,Bienestar,easy,30,30
Realizar una tarea de voluntariado,Colabora con tu comunidad o entorno,Social,hard,120,100
Hacer seguimiento de gastos diarios,Anota tus compras para controlar tu presupuesto,Finanzas,normal,15,50
